회원번호,카테고리
419,24
419,0
419,11
420,0
420,17
421,7
422,1
422,10
423,0
423,7
423,24
423,20
423,15
424,0
425,13
425,19
426,0
427,0
428,13
429,13
430,0
430,18
430,8
431,0
431,20
431,15
431,24
431,23
431,14
431,12
431,5
431,13
432,0
433,3
433,0
434,0
435,0
436,14
437,1
438,21
438,0
439,0
440,1
440,8
440,0
440,11
441,0
441,19
441,9
442,0
443,0
444,7
445,0
446,19
446,9
446,5
447,0
447,1
447,10
448,0
448,10
449,1
450,0
451,17
452,1
453,0
454,0
455,0
456,17
457,0
457,8
457,20
457,5
458,14
459,0
459,2
459,11
460,0
461,21
461,0
461,7
461,19
462,0
462,8
462,9
463,0
463,2
463,23
464,5
464,0
465,0
465,1
466,0
466,5
466,14
466,2
467,8
467,0
467,5
468,0
468,5
469,0
469,5
470,0
471,0
471,13
471,5
471,9
472,0
472,24
473,10
473,5
474,0
475,0
475,13
476,0
476,23
476,10
477,0
478,0
479,0
480,0
480,14
480,10
480,12
481,10
481,5
481,14
482,0
483,0
484,0
485,5
486,0
487,0
488,0
489,8
489,16
490,13
490,0
491,8
491,1
491,0
492,0
493,0
493,10
494,13
495,0
495,19
495,10
496,2
496,7
496,1
496,0
497,0
498,0
499,0
500,13
500,4
501,0
502,0
503,0
504,13
504,5
504,19
504,6
504,10
505,0
505,1
506,0
506,1
507,0
508,0
509,3
509,16
509,0
510,0
511,0
512,0
513,5
513,0
514,6
514,1
514,10
515,4
516,6
517,10
517,0
518,0
519,0
520,0
521,17
522,1
523,0
523,8
524,1
525,10
525,5
526,0
527,0
528,0
529,0
530,0
531,3
532,5
532,0
533,5
533,6
534,0
535,13
535,0
535,14
535,3
535,2
535,5
535,23
536,0
537,10
538,1
538,0
538,20
539,0
540,9
540,0
540,10
540,19
540,13
540,17
540,5
541,5
541,0
542,2
543,0
543,16
544,0
545,0
545,10
546,3
546,10
547,3
547,11
547,0
548,0
548,5
549,18
549,7
549,9
549,0
549,14
550,0
551,0
552,23
552,2
552,0
553,16
553,0
554,11
554,0
554,1
555,2
555,17
556,0
557,1
557,0
558,15
558,20
559,0
560,0
560,5
560,10
560,16
560,3
561,10
561,21
561,0
561,3
561,13
561,18
562,19
562,0
563,13
563,0
564,20
565,0
566,10
566,8
566,13
566,19
566,0
567,0
568,0
568,13
569,0
570,0
571,13
571,7
571,0
572,1
573,21
573,5
573,13
573,0
574,17
575,0
575,3
576,0
577,0
578,15
579,0
580,5
580,0
581,0
581,2
582,12
582,6
583,0
583,9
584,5
585,0
586,0
587,0
587,2
588,20
588,12
588,22
588,0
588,1
588,10
588,19
589,17
589,1
589,19
589,0
590,0
591,13
592,0
592,1
592,5
593,0
593,18
593,19
593,23
593,5
593,2
594,0
595,9
596,0
596,24
596,3
596,5
596,13
596,9
597,1
597,3
597,0
598,1
598,14
598,6
598,8
598,13
598,11
598,18
599,24
599,0
599,23
599,1
599,4
600,4
600,5
600,20
600,10
600,19
600,14
600,9
600,8
600,17
600,12
600,11
600,15
600,18
601,0
602,12
603,0
604,21
604,1
604,16
604,0
604,13
604,4
604,5
605,1
605,10
605,18
605,19
605,0
605,5
605,16
605,13
606,11
606,0
606,12
606,10
606,19
606,17
606,5
606,2
607,0
608,0
609,10
609,19
610,1
611,11
612,0
613,3
613,8
614,23
614,7
614,8
615,0
616,9
617,0
618,0
618,20
618,13
618,24
619,0
620,0
621,10
622,1
622,8
622,0
622,18
622,6
623,23
623,19
623,0
623,2
624,0
624,13
625,0
626,10
626,2
626,3
626,0
627,0
628,0
628,18
628,19
629,5
630,0
631,7
631,1
631,16
631,19
631,10
632,10
633,0
634,0
635,17
635,8
635,11
636,10
637,6
638,0
639,0
640,0
641,0
641,13
642,0
643,1
644,10
644,0
645,7
645,6
646,16
647,10
647,7
647,11
647,0
647,3
648,6
649,0
649,5
650,0
651,0
651,5
652,1
653,7
653,6
654,2
654,19
654,20
654,17
654,22
654,6
655,6
655,3
656,13
657,8
658,10
658,0
659,0
660,0
660,3
660,18
661,17
661,1
661,14
661,10
662,0
663,0
663,2
663,23
663,12
663,14
663,10
663,19
664,24
664,0
664,20
665,17
666,7
667,1
667,3
668,10
669,11
670,6
670,8
670,1
670,11
671,1
671,5
672,0
673,10
673,0
673,12
673,9
674,1
675,0
675,8
676,14
677,1
677,17
678,11
679,1
679,3
679,10
679,6
680,0
681,0
682,0
682,3
682,10
682,18
682,19
682,5
682,14
683,0
684,0
685,0
686,0
687,0
688,0
689,6
690,14
690,0
690,17
690,19
690,7
691,0
691,14
692,0
693,19
693,11
694,0
694,10
694,5
695,18
696,0
696,9
697,17
697,0
697,5
698,0
699,0
700,0
701,0
702,8
703,2
703,17
703,0
704,0
705,13
706,6
707,10
707,21
708,18
708,6
709,0
709,19
709,1
710,10
710,0
710,1
711,0
711,8
711,23
711,2
711,21
712,0
713,0
714,0
715,21
715,0
716,0
717,13
717,5
718,18
719,13
719,1
719,8
720,0
721,1
722,1
722,10
723,7
723,10
724,10
724,5
725,24
725,15
725,7
725,13
725,8
726,0
726,5
727,0
728,12
728,1
729,8
730,0
731,0
732,10
732,0
733,0
733,1
734,10
734,19
734,5
734,7
735,0
736,7
737,9
738,5
739,11
740,0
741,13
742,1
742,8
743,0
744,0
745,3
746,13
747,13
748,0
749,1
749,18
749,13
750,17
751,5
751,0
752,5
752,10
752,19
753,0
753,17
753,5
754,11
754,6
755,0
755,12
755,9
755,7
755,13
755,8
756,3
756,0
756,23
757,0
757,13
758,0
758,9
758,19
758,10
759,5
760,5
761,0
762,0
762,8
763,0
763,24
764,9
764,7
765,1
766,0
767,11
767,13
768,0
768,20
768,10
768,5
769,14
770,24
771,5
772,0
773,0
773,14
773,3
773,10
773,5
774,5
774,9
775,23
775,1
775,5
775,10
776,0
776,5
776,17
777,13
778,5
779,1
780,1
780,5
780,3
781,11
782,1
782,0
783,10
783,19
783,13
783,11
783,0
783,3
783,20
783,23
784,6
784,8
784,13
784,0
785,23
785,7
785,1
785,10
785,9
786,0
787,0
788,13
789,0
790,3
790,5
790,13
790,9
790,1
790,21
791,10
792,0
792,4
792,18
792,2
792,14
793,13
794,0
794,13
795,0
795,8
796,13
797,6
798,5
799,5
800,1
801,16
802,8
803,7
803,13
803,6
804,13
805,0
805,14
806,0
807,13
808,3
808,1
808,11
809,11
809,16
810,0
811,0
811,3
812,0
812,6
812,13
812,24
813,1
813,6
813,8
814,21
814,0
814,5
814,18
814,9
814,14
815,0
815,13
815,23
816,0
816,2
817,0
817,18
817,8
817,14
817,5
817,10
817,21
817,9
817,16
818,0
819,13
820,0
820,24
821,1
821,11
821,13
822,10
822,12
822,19
822,9
823,18
824,11
824,9
825,2
826,5
827,0
827,1
828,5
828,9
828,10
828,21
829,13
829,12
830,0
830,5
831,1
831,19
831,10
831,11
831,12
832,0
833,21
833,7
834,0
834,10
835,8
835,16
835,10
836,0
836,11
836,6
837,11
837,13
837,0
838,0
839,11
839,18
839,6
839,5
839,13
840,8
840,2
841,13
842,13
842,5
843,13
844,2
844,14
845,1
845,0
846,5
847,0
848,9
849,6
849,10
850,0
851,19
851,7
852,6
852,9
852,3
852,10
852,13
852,0
852,12
852,19
853,0
854,1
855,0
856,0
856,5
856,6
856,13
857,10
857,0
858,17
859,0
860,0
861,13
862,0
863,0
863,18
863,11
864,24
864,0
864,8
865,19
866,19
866,5
867,11
867,13
868,20
868,0
869,7
870,17
870,0
870,5
870,2
871,0
871,18
872,24
872,0
873,13
873,18
874,0
874,13
874,9
875,14
875,0
875,10
876,0
876,7
877,0
878,7
878,3
878,0
879,0
879,11
880,0
881,8
881,7
882,4
882,1
882,0
882,23
882,5
883,13
883,23
884,1
884,10
884,13
884,19
885,0
886,0
886,5
886,10
887,7
888,8
888,19
889,0
889,9
889,23
889,2
889,8
889,14
890,0
891,0
892,19
892,6
892,11
893,5
893,12
893,8
893,13
893,7
893,14
893,19
894,12
894,0
895,1
896,0
897,10
898,10
898,0
899,0
899,1
899,10
900,14
901,0
902,14
903,11
904,13
905,1
905,13
906,0
907,0
908,0
909,1
909,13
909,2
909,18
910,10
910,5
910,13
911,3
912,13
912,1
913,13
913,6
914,13
915,3
915,17
916,18
917,13
918,6
919,8
919,12
920,1
920,0
920,6
921,18
921,0
921,5
922,0
922,10
922,13
923,13
923,5
923,0
923,18
924,19
925,5
926,0
927,11
927,9
927,3
927,13
928,1
928,8
929,11
930,0
930,1
931,0
932,0
933,19
933,8
934,17
935,7
936,0
936,24
937,21
938,0
938,11
939,0
940,0
941,0
941,17
942,14
942,10
942,4
942,19
942,17
943,1
944,0
944,10
945,7
945,19
946,0
947,3
948,0
948,13
949,18
950,0
950,3
950,8
950,11
951,0
951,19
951,10
951,5
952,0
952,19
952,14
953,0
954,0
955,0
955,17
955,18
956,13
956,10
956,0
957,4
958,0
959,18
960,5
960,14
960,6
960,10
961,18
961,16
962,9
963,9
963,14
964,0
965,10
965,14
966,17
966,13
967,17
967,6
967,18
967,5
967,14
967,10
968,3
968,9
969,0
970,18
970,19
971,5
971,10
972,24
973,11
974,17
974,7
974,13
975,16
975,4
976,10
977,14
977,0
977,18
978,20
978,0
978,24
979,13
979,14
980,7
980,20
980,4
980,2
980,15
981,0
982,0
983,19
983,12
984,13
984,9
984,20
984,5
984,0
985,1
985,16
986,2
986,13
987,2
987,20
987,5
987,10
988,3
988,1
989,7
990,13
990,0
991,0
992,5
992,10
992,14
993,11
993,7
993,6
994,11
995,16
995,5
995,4
996,0
997,11
997,0
997,3
997,14
998,19
998,12
998,5
998,10
998,14
999,13
1000,13
1001,10
1001,0
1002,13
1002,0
1003,5
1003,3
1003,4
1004,0
1004,9
1005,24
1006,0
1007,0
1008,5
1008,13
1008,0
1008,3
1008,1
1009,0
1009,20
1009,1
1009,16
